quote,character,source
"Conozco a la mitad de ustedes la mitad de lo que quisiera y quiero a menos de la mitad de ustedes la mitad de llo que merecen",Bilbo Baggins,"El Señor de los Anillos"
"Debo mantenerme sereno para no caer en la locura",Gato con Botas,"Shrek 2"
"Zuko honor",Zuko,"Avatar: The Last Airbender"
"Semillas",Thorin,"El Hobbit"
"Unagi",Ross Geller,"Friends"
"Y mi arco",Legolas,"El Señor de los Anillos"
"Final",Gandalf,"El Señor de los Anillos"
"Te sabes la de la mano en el hombro",Tío Aron,"Spider-man: Into the Spider-Verse"
"No es facil ser un anciano",Sofi,"Howl's Moving Castle"
"Basta Rogelio",Heraldo,"Shrek 2"
"Emotional damage",Unknown,"TikTok"
"Estoy cansado Gandalf,como mantequilla untada en mucho pan",Bilbo Baggins,"El Señor de los Anillos"
"Piensa McFly,piensa",Beff Tannen,"Back to the Future"
"Vigila el oriente",Gandalf,"El Señor de los Anillos"
"Camarones",Booba,"Forest Gump"
"Eres un juguete",Woody,"Toy Story"
"La unica salida es la muerte",Estrellita,"Mario Bros Movie"
"As it was written",Stilgar,"Dune"
"No debi decir eso",Hagrid,"Harry Potter and the Philosopher's Stone"
"Te invito a desayunar hoy en la noche",Peter Parker,"Spider-man 2"
"Nosborn que galan",Dr,"Drake and Josh"
"Vida antes que muerte. Fuerza antes que debilidad. Viaje antes que destino.",Kaladin,"The Way of Kings: The Stormlight Archive"
"¿Final? No este no es el final de la jornada, la muerte solo es otro camino que todos recorren. La cortina de lluvia gris del mundo se abre y se transforma en plata y cristal, despues lo ves. Blancas costas y mas alla un pais lejano y verde, a la luz de un amanecer.",Gandalf,"El Señor de los Anillos"
